vno, mno, fno, vdate
822,2,16,2025-09-11 09:13:38
823,2,16,2025-09-11 09:16:50
824,2,16,2025-09-11 09:17:34
825,1,16,2025-09-11 09:24:46
826,1,16,2025-09-11 09:26:33
827,1,16,2025-09-11 09:30:35
828,1,16,2025-09-11 09:32:01
829,1,16,2025-09-11 09:32:43
830,1,16,2025-09-11 09:32:52
831,1,16,2025-09-11 09:36:39
832,1,16,2025-09-11 09:37:29
833,1,16,2025-09-11 09:38:00
834,1,16,2025-09-11 09:41:21
835,1,16,2025-09-11 09:42:57
836,1,1,2025-09-11 09:44:44
837,1,1,2025-09-11 09:45:20
838,1,1,2025-09-11 09:45:24
839,1,1,2025-09-11 09:45:27
840,1,1,2025-09-11 09:45:29
841,1,1,2025-09-11 09:45:29
842,1,1,2025-09-11 09:45:29
843,1,1,2025-09-11 09:45:30
844,,15,2025-09-11 09:47:28
845,2,1,2025-09-11 09:47:40
846,2,1,2025-09-11 09:47:44
847,2,1,2025-09-11 09:47:45
848,2,10,2025-09-11 10:04:55
849,2,10,2025-09-11 10:04:58
850,2,10,2025-09-11 10:20:41
851,2,1,2025-09-11 10:20:47
852,2,1,2025-09-11 10:50:18
853,2,1,2025-09-11 11:03:19
